OBS_ID	X	Y	Depth	LAYER	OBS_VALUE	DATO	SIM_VALUE_INTP	SIM_VALUE_CELL	ME	ME^2	#DRY_CELLS	#BOUNDARY_CELLS	COLUMN	ROW	COMMENT
193.1486_1	712453	6195529	22.8357949256897	3	32.0633	03-04-2007	21.1503719539337	21.4184856414795	10.9129280460663	119.09199853862	0	0	194	321	
193.1488_1	712577	6195603	20.4390778541565	3	32.2267	04-04-2007	21.0021197006073	20.8046760559082	11.2245802993927	125.991202897515	0	0	195	321	
193.1490_1	712438	6195547	22.8357949256897	3	32.79	05-04-2007	21.1707201376953	21.4184856414795	11.6192798623047	135.007664518559	0	0	194	321	
193.1491_1	712452	6195529	22.8357949256897	3	32.79	06-04-2007	21.1516281659241	21.4184856414795	11.6383718340759	135.451698948212	0	0	194	321	
193.1493_1	712231	6194479	26.8132610321045	3	34.59	07-04-2007	20.8145641892014	20.7623291015625	13.7754358107986	189.762631777434	0	0	194	318	
193.1538_2	706076	6202975	7.81924438476563	3	22.09	10-04-2007	20.7807319137573	20.3256244659424	1.30926808624267	1.71418292165356	0	0	182	335	
193.1569_1	713339.82	6192858.65	25.1341066360474	3	32	12-04-2007	19.540611187298	19.6122913360596	12.459388812702	155.236369586084	0	0	196	315	
193.1575_1	715381	6193644	25.826153755188	3	31.7	13-04-2007	17.5402448531952	17.6522617340088	14.1597551468048	200.498665817465	0	0	200	317	
193.1579_1	706906	6192160	22.7035579681396	3	34.9	14-04-2007	21.5951365545654	21.7692070007324	13.3048634454346	177.019391301661	0	0	183	314	
193.1580_1	707112	6196629	12.2986679077148	3	33.3	15-04-2007	25.2949283745818	25.3723773956299	8.00507162541822	64.0811717280759	1	0	184	323	
193.1581_1	708903	6194725	20.4742746353149	3	35.8	16-04-2007	22.6400850034714	22.7303447723389	13.1599149965286	173.183362715859	0	0	187	319	
193.1582_1	707008	6192057	21.2115392684937	3	32.5	17-04-2007	21.4549847131958	21.4125022888184	11.0450152868042	121.992362685738	0	0	184	314	
193.1583_1	707071	6192054	21.2115392684937	3	33.8	18-04-2007	21.4108157668457	21.4125022888184	12.3891842331543	153.491885963039	0	0	184	314	
