NOVANAID	XUTM	YUTM	Z	Ave_WATLEV	DATE	COMP_LAYER
201.4847_1	725395	6176228	-5.61	-0.54	3-11-2007	3
201.4848_1	725400	6176176	-4.08	-0.86	4-11-2007	3
201.4848_2	725400	6176176	-4.08	-0.65	5-11-2007	3
201.4850_2	725836	6175421	-4.15	-0.8	8-11-2007	3
201.4856_1	727275	6174302	-6.95	-1.01	14-11-2007	3
201.4857_1	727290	6174376	-6.94	-1	15-11-2007	3
201.4858_1	727353	6174394	-4.56	-1.12	16-11-2007	3
201.4862_1	725553	6174706	-8.11	-0.35	20-11-2007	3
201.4863_1	725565	6174666	-7.65	0.49	21-11-2007	3
201.4864_1	725529	6174546	-8.39	-0.23	22-11-2007	3
201.4865_3	724260	6176805	-2.31	3.08	25-11-2007	3
201.4866_3	724408	6176717	-3.0334	3	28-11-2007	3
201.4867_2	724729	6176574	-3.32	2.77	30-11-2007	3
201.4868_2	724783	6176535	-0.47	2.1	2-12-2007	3
201.4869_2	724875	6176551	-5.02	1.2	4-12-2007	3
201.4871_2	725248	6176396	-0.8	1.34	7-12-2007	3
201.4872_2	725220	6176508	-4.9145	0.84	9-12-2007	3
201.4874_2	725431	6176054	-3.85	-1.37	12-12-2007	3
201.4877_3	725637	6175746	-5.3894	-0.01	17-12-2007	3
201.4879_2	725900	6175353	-3.85	-0.6	21-12-2007	3
201.4884_2	724578	6176616	-3	2.15	24-12-2007	3
201.4885_2	724633	6176592	-2.7	1.95	26-12-2007	3
201.4905_2	724030	6176782	-2.59	4.6	28-12-2007	3
201.4906_2	723952	6176624	-0.05	4.85	30-12-2007	3
201.4909_3	723718	6176594	-3.03	3.64	5-01-2008	3
201.4910_3	723762	6176682	-4.11	1.64	8-01-2008	3
201.4911_2	723820	6176797	-0.04	2.48	10-01-2008	3
201.4912_2	723557	6176379	-1.14	2.36	12-01-2008	3
201.4913_2	723387	6176361	1.3089	2.73	14-01-2008	3
201.4914_2	723317	6176381	1.3089	2.71	16-01-2008	3
201.4918_2	722740	6176467	-0.9026	2.18	21-01-2008	3
201.4919_2	722629	6176432	3.22	3.3	23-01-2008	3
201.4920_2	722561	6176340	2.35	2.9	25-01-2008	3
201.4921_1	722380	6176300	-6.07	1.51	26-01-2008	3
201.4922_1	722301	6176276	-6.28	3.14	27-01-2008	3
201.4922_2	722301	6176276	-3.203	7.24	28-01-2008	3
